phage,genome_length_bp,total_cds,known_function_cds,unknown_function_cds,pct_known_cds,pct_unknown_cds,known_function_bp,unknown_function_bp,noncoding_bp,pct_genome_known,pct_genome_unknown,pct_genome_noncoding,method_foldseek,method_pharokka,method_none
Anivius_Host_6,59222,100,47,53,47.0,53.0,40392,15282,3548,68.2,25.8,6.0,53,7,40
Anthemius_Host_3,48526,64,39,25,60.9,39.1,39279,7674,1573,80.9,15.8,3.2,51,2,11
Arcadius_Host_2,58055,90,43,47,47.8,52.2,41409,14637,2009,71.3,25.2,3.5,66,7,17
Arruntis_Host_7,44193,62,28,34,45.2,54.8,33894,8796,1503,76.7,19.9,3.4,42,10,10
Artabasdos_Host_5,148632,317,96,221,30.3,69.7,79614,58080,10938,53.6,39.1,7.4,160,53,104
Avitus_Host_3,48411,66,38,28,57.6,42.4,39165,7914,1332,80.9,16.3,2.8,49,3,14
Balbinus_Host_11,34524,53,34,19,64.2,35.8,27666,5814,1044,80.1,16.8,3.0,42,3,8
Balder_Host_13,48312,65,39,26,60.0,40.0,38838,7926,1548,80.4,16.4,3.2,52,4,9
Bardicus_Host_5,76230,108,54,54,50.0,50.0,56607,16644,2979,74.3,21.8,3.9,58,14,36
Bonosus_Host_9,51759,87,42,45,48.3,51.7,35976,11925,3858,69.5,23.0,7.5,65,15,7
Brede_Host_10,43013,61,31,30,50.8,49.2,33339,8142,1532,77.5,18.9,3.6,41,12,8
Caracalla_Host_4,12718,37,7,30,18.9,81.1,4746,6897,1075,37.3,54.2,8.5,21,9,7
Carinus_Host_13,48005,63,38,25,60.3,39.7,38799,7635,1571,80.8,15.9,3.3,51,2,10
Decius_Host_11,160317,242,110,132,45.5,54.5,103581,49650,7086,64.6,31.0,4.4,183,25,34
Diadumenian_Host_10,40428,68,32,36,47.1,52.9,29748,9111,1569,73.6,22.5,3.9,34,5,29
Didius_Host_10,49116,81,46,35,56.8,43.2,36948,9036,3132,75.2,18.4,6.4,66,7,8
Doukas_Host_7,140306,265,112,153,42.3,57.7,87393,42561,10352,62.3,30.3,7.4,186,39,40
Elagabalus_Host_10,43989,61,28,33,45.9,54.1,34113,8652,1224,77.5,19.7,2.8,42,11,8
Etui_Host_1,44221,64,32,32,50.0,50.0,33624,8838,1759,76.0,20.0,4.0,45,10,9
Eudokia_Host_7,40859,56,33,23,58.9,41.1,33996,4548,2315,83.2,11.1,5.7,38,11,7
Galerius_Host_13,48275,65,39,26,60.0,40.0,38985,8043,1247,80.8,16.7,2.6,52,2,11
Galleinus_Host_13,47959,62,39,23,62.9,37.1,39213,7242,1504,81.8,15.1,3.1,52,2,8
Geta_Host_4,13956,37,8,29,21.6,78.4,5028,7500,1428,36.0,53.7,10.2,29,5,3
Grebano_Host_1,43381,60,30,30,50.0,50.0,33255,8364,1762,76.7,19.3,4.1,43,8,9
Heraclius_Host_6,60723,110,46,64,41.8,58.2,39957,18552,2214,65.8,30.6,3.6,62,12,36
Heraclonas_Host_6,43844,63,30,33,47.6,52.4,33420,8982,1442,76.2,20.5,3.3,46,8,9
Herennius_Host_13,47949,62,37,25,59.7,40.3,38571,7848,1530,80.4,16.4,3.2,49,2,11
Hostillian_Host_8,40896,58,34,24,58.6,41.4,34587,4299,2010,84.6,10.5,4.9,39,8,11
Jovian_Host_2,60826,109,49,60,45.0,55.0,41484,16740,2602,68.2,27.5,4.3,63,8,38
Komnenos_Host_7,43946,59,29,30,49.2,50.8,33978,8733,1235,77.3,19.9,2.8,38,13,8
Leonitus_Host_4,18270,45,13,32,28.9,71.1,8805,7968,1497,48.2,43.6,8.2,34,6,5
Libius_Host_3,109692,188,68,120,36.2,63.8,69588,30711,9393,63.4,28.0,8.6,119,26,43
Licinius_Host_2,45173,63,33,30,52.4,47.6,36105,6696,2372,79.9,14.8,5.3,35,12,16
Marcian_Host_3,73539,112,52,60,46.4,53.6,53502,17352,2685,72.8,23.6,3.7,55,13,44
Maxentius_Host_2,299129,398,129,269,32.4,67.6,164607,119316,15206,55.0,39.9,5.1,160,37,201
Nepotimus_Host_11,176294,290,151,139,52.1,47.9,128673,42069,5552,73.0,23.9,3.1,238,37,15
Olybrius_Host_3,76375,108,52,56,48.1,51.9,59487,14076,2812,77.9,18.4,3.7,55,14,39
Pacatian_Host_8,34877,54,39,15,72.2,27.8,29847,3555,1475,85.6,10.2,4.2,45,2,7
Phocas_Host_4,47519,83,44,39,53.0,47.0,35082,9114,3323,73.8,19.2,7.0,60,13,10
Pius_Host_10,48030,62,39,23,62.9,37.1,39084,7377,1569,81.4,15.4,3.3,48,4,10
Pupienus_Host_11,39923,55,30,25,54.5,45.5,32427,4938,2558,81.2,12.4,6.4,34,11,10
Quartinus_Host_9,73123,105,41,64,39.0,61.0,51552,18630,2941,70.5,25.5,4.0,67,17,21
Quintillus_Host_6,43206,63,32,31,50.8,49.2,34152,8037,1017,79.0,18.6,2.4,47,7,9
Rangabe_Host_5,148748,321,94,227,29.3,70.7,80229,57060,11459,53.9,38.4,7.7,154,66,101
Ravello_Host_1,59201,91,42,49,46.2,53.8,41481,15765,1955,70.1,26.6,3.3,62,11,18
Rozzorie_Host_10,349028,621,203,418,32.7,67.3,194484,134535,20009,55.7,38.5,5.7,401,87,133
Salolinus_Host_13,48122,61,39,22,63.9,36.1,39030,7305,1787,81.1,15.2,3.7,50,4,7
Septimius_Host_10,44015,60,28,32,46.7,53.3,34131,8655,1229,77.5,19.7,2.8,43,9,8
Silbannacus_Host_13,5717,9,9,0,100.0,0.0,5520,0,197,96.6,0.0,3.4,7,2,0
Skandal_Host_13,8125,14,10,4,71.4,28.6,7146,570,409,88.0,7.0,5.0,9,1,4
Staurakios_Host_5,76888,109,51,58,46.8,53.2,56850,17019,3019,73.9,22.1,3.9,58,12,39
Surprisus_Host_10,72411,105,42,63,40.0,60.0,51345,18486,2580,70.9,25.5,3.6,61,19,25
Trebonianus_Host_11,243472,311,115,196,37.0,63.0,143298,89553,10621,58.9,36.8,4.4,135,48,128
Volusianus_Host_13,47810,63,38,25,60.3,39.7,38775,7551,1484,81.1,15.8,3.1,51,2,10
